,duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,last_flag,attack_class,attack_1_VS_All,protocol_type_tcp,protocol_type_udp,service_X11,service_Z39_50,service_aol,service_auth,service_bgp,service_courier,service_csnet_ns,service_ctf,service_daytime,service_discard,service_domain,service_domain_u,service_echo,service_eco_i,service_ecr_i,service_efs,service_exec,service_finger,service_ftp,service_ftp_data,service_gopher,service_harvest,service_hostnames,service_http,service_http_2784,service_http_443,service_http_8001,service_imap4,service_iso_tsap,service_klogin,service_kshell,service_ldap,service_link,service_login,service_mtp,service_name,service_netbios_dgm,service_netbios_ns,service_netbios_ssn,service_netstat,service_nnsp,service_nntp,service_ntp_u,service_other,service_pm_dump,service_pop_2,service_pop_3,service_printer,service_private,service_red_i,service_remote_job,service_rje,service_shell,service_smtp,service_sql_net,service_ssh,service_sunrpc,service_supdup,service_systat,service_telnet,service_tftp_u,service_tim_i,service_time,service_urh_i,service_urp_i,service_uucp,service_uucp_path,service_vmnet,service_whois,flag_REJ,flag_RSTO,flag_RSTOS0,flag_RSTR,flag_S0,flag_S1,flag_S2,flag_S3,flag_SF,flag_SH,attack_buffer_overflow,attack_ftp_write,attack_guess_passwd,attack_imap,attack_ipsweep,attack_land,attack_loadmodule,attack_multihop,attack_neptune,attack_nmap,attack_normal,attack_perl,attack_phf,attack_pod,attack_portsweep,attack_rootkit,attack_satan,attack_smurf,attack_spy,attack_teardrop,attack_warezclient,attack_warezmaster
root_shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su_attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_file_creations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_shells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_access_files,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_outbound_cmds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_host_login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_guest_login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,-0.1986393901418775,-0.30255338549103455,-0.3244515827889905,,,,,,-0.5779570559395322,,,,,,,,,,,1.0,0.3153232571197878,0.5512371113925187,0.5467515489161467,0.14792846763815418,0.14841587700100586,-0.7114228472661693,0.28010647984396553,-0.2824724734640001,0.5057048125019878,-0.4402648076346362,-0.5265067166685483,0.1012368621197922,-0.19747337526484074,-0.3224097745991685,0.5517618172474908,0.5563690835399305,0.16260127971803118,0.15317038144676334,-0.07365151866500293,0.4126405317087852,0.6105822108995496,-0.0021000144301496367,0.0022124313689743905,-0.01673627688470001,0.11103112877866081,0.008276810994235542,0.07820116010352898,0.1049420953070053,0.02957349416495003,0.08498721820386311,0.08737873719550504,0.08848454752732039,0.08880892911399436,0.0889499537384621,0.0848403052022644,0.07573867782608837,-0.15136316425820376,0.2063665809030338,0.02519915724051432,0.023873261191310075,-0.008699280005513859,-0.015015966510030527,-0.1283847383940843,0.08444200702038533,0.008276810994226981,0.08895509713334415,-0.4572106649753402,0.005852565950853117,0.03232204346789332,0.008276810994239872,0.10773077039796564,0.11241758014054742,0.020337781249083815,0.015730653146708212,0.042594967920899396,0.08609881795149618,0.022366294414014172,0.08139297664252133,0.07688997570281621,0.07047168700320189,0.06183747735214606,0.06743354809653179,0.06296231205374905,0.029450408610710598,0.05098105936047793,-0.02791706056751289,0.021580335721227795,0.0001726041536139121,0.034592493012516816,-0.009301469856422374,0.008285309115061174,0.2333554182541341,-0.00587358419153819,0.026460639883346924,0.023896355776060734,0.0062067826374097535,-0.18190068308892532,0.04018269855543071,0.05050134004461259,0.06782397584719628,0.07790187829754719,0.08154587349013627,-0.027477306962511015,-0.001657504401667009,-0.006103354708076632,0.07693192211202561,-0.006931037205472786,-0.04713766584409648,0.031309808112413746,0.10009721607213296,0.09571652659579735,0.09629168937861554,0.18087663548701424,0.07957209874850728,0.013362235829144066,-0.09170222340176094,0.5568831182102165,-0.041242223858605744,-0.023771219509482886,-0.014362621112874787,-0.5949632857293276,-0.035730993265043566,-0.010798591175399995,-0.0062232349775754895,-0.015912198432944936,-0.0071952412985816965,-0.13386270472455733,-0.008809060953547578,-0.006544251355867939,-0.005821280174189876,0.6543176568005862,-0.08515608242280624,-0.6105822108995496,-0.0038108619285247658,-0.004400421786753271,-0.029626136741909965,-0.07771130038479428,-0.006948908042797827,0.12602136613104484,0.24018008202089727,-0.003111543384724004,-0.015060051086334089,-0.06563018826492417,-0.009821311559473522
srv_count,-0.1319122775163361,-0.002768121604943236,-0.118397453815402,,,,,,-0.22451188980935205,,,,,,,,,,,0.3153232571197878,1.0,-0.15984477673860023,-0.15922234018447942,-0.14329401095789362,-0.14378534575911667,0.21432560791540775,-0.18387123946284803,-0.075942677312152,0.18219744799354282,0.2834819994168957,0.25257362072234535,-0.1666849421524335,0.08526557172753277,-0.09804856021545717,-0.15962345509770523,-0.1561688915424311,-0.13023922295767187,-0.14173897763573515,-0.1854430539838345,-0.09858628928162698,-0.07830423420134262,-0.6025425693395562,0.5264898781046403,-0.011910933723140012,-0.02072447299424062,-0.002013306738829897,-0.02894439817069266,-0.0196359687783025,-0.019613221766216146,-0.017706633490010847,-0.018538773996413665,-0.017308762572881456,-0.01757930190290888,-0.01954411466382621,0.6528573468857571,-0.014624697985611793,0.00022281414277618313,0.4252557243876271,-0.013705832366092751,-0.013883793899040169,-0.04040655613092106,-0.05125085754957424,-0.09166529444990569,-0.01600275213338623,-0.0020133067388281595,-0.01484999434576348,-0.15304759807063426,-0.001423617197069905,-0.01435727879230061,-0.0020133067388302304,-0.014634141788836989,-0.016441047367399493,-0.013341713555954381,-0.010541240464577743,-0.013394738980700004,-0.015247784908285416,-0.013610964479749929,-0.015345146864035202,-0.01593246301989647,-0.01492511457697962,-0.013464215197456273,-0.013674217463807566,-0.0137771408885877,-0.01794892413813358,-0.012020831113224797,-0.018413799452498693,-0.030194284478244286,-0.003183355367672607,-0.006750025967864925,-0.02029093325988479,-0.006493563906101927,-0.11421043021653253,-0.003124972338260693,-0.008153095458833057,-0.007531363128235685,-0.006363491655270285,-0.11956077345074792,-0.010449791978806442,-0.011455207519700056,-0.012347317887014517,-0.01526644410602965,-0.014962099887990835,-0.050286145437339065,-0.0023395825023379913,-0.003949417628901385,-0.01998615805217269,-0.004502033684460481,-0.031738302980589356,-0.02004686783989292,-0.01766738943783461,-0.017498003959101418,-0.018907720642255432,-0.11568571073221043,-0.035241483451033874,-0.013592037000278718,-0.06853010665311003,-0.1531566736283908,-0.02368142875659731,-0.013890619673382896,-0.007510013824167568,0.24076181762987842,-0.020992647346487224,-0.007665314297082902,-0.004000945459565792,-0.010085909099575505,0.019842683648248132,-0.006114026291845119,-0.0057998310731207856,-0.004198115564171743,-0.003739084093492964,-0.17202127445764112,-0.008971834249939479,0.0783042342013426,-0.00246579689009425,-0.002810833197939765,-0.015055406920370282,-0.07618599006182954,-0.004478989555101853,-0.05676210949398908,0.4673105467948621,-0.002013306738829883,0.0651903213187944,-0.04192508649624642,-0.006318203915406898
serror_rate,-0.16892419826648708,-0.3647013946550489,-0.2699253300577377,,,,,,-0.4919249950223618,,,,,,,,,,,0.5512371113925187,-0.15984477673860023,1.0,0.993289242538446,-0.22753589842180885,-0.22717096815267518,-0.762375872602594,0.293247098811941,-0.22402183798006253,0.3956708480170982,-0.5578033438448492,-0.6227973221645197,0.013175535531390802,-0.27597462478945417,-0.25227652832529046,0.9793730829859216,0.9811389586199488,-0.23181025369144048,-0.2266203231098029,-0.026735592514739885,0.403978981607923,0.6506522402276067,0.30005830404599154,-0.23031166359992855,-0.013008991864483049,0.09292495287329414,-0.0018250030617026534,0.06077321650138905,0.08195204987422552,0.09051709927107174,0.07422060381816663,0.071803339719476,0.07761513372657956,0.07022309362684444,0.06726324227204863,-0.177182025289325,0.06307958121416381,-0.12371339944825056,-0.10071299434750845,0.07042715683254598,0.06778915896292322,0.09214289377609754,-0.014302864425124837,-0.060507352134497025,0.06593360593632525,-0.001601880676817951,0.06463587866186664,-0.3729510960296747,-0.0013535752086170545,0.06899510478070615,-0.0013787582919226567,0.07867949588773387,0.08658192412304,0.07202750143803127,0.0534170842044235,0.0638062395119275,0.0642412512184022,0.06910720887458026,0.06537502245718865,0.06077419902333794,0.06433029825846422,0.05607582382629489,0.05985187941135592,0.06626575497372768,0.08060983100308586,0.060547762258254326,-0.023285618270830675,-0.10146238247285816,-0.003788764235403446,0.01997107736270975,-0.008154884452358551,0.024820060710113383,0.32470234863340874,-0.005078110323378858,0.019485027532689488,0.020030433269961363,0.023346724344912865,-0.13424630861352732,0.04412338779511274,0.05406868037037951,0.061768980696157584,0.07854962727168972,0.07003042125423214,0.08492770580162066,-0.0031096330718720453,-0.005078110323379507,0.06515356222586079,-0.0056775450127463595,-0.044155192703771336,0.08666615723434322,0.0831904379462134,0.07933605013517865,0.08469705207146182,-0.18910512874624638,-0.07100230537116624,0.01826919645928279,-0.08916551418522008,0.9791740914915152,0.05804358840866538,0.03746590227315222,0.014391664796102481,-0.7584193849061114,0.0731669889969053,-0.00755296952072429,-0.005078110323379033,-0.011338845729286643,0.008012324497050052,-0.1091712527753577,0.018162242248177283,-0.005386170747604801,-0.004750118395727906,0.8550543149854384,-0.026696731514027492,-0.6506522402276067,-0.003109633071872286,-0.003590709234510968,-0.02547347119400719,-0.08645484615662857,-0.005677545012740753,-0.0908711724164428,-0.09333572819882818,-0.00253899469336404,-0.03985760794319414,-0.053219210233204355,-0.008029579892055204
